"iso3c","nutrient","total_supply_all","total_supply_OA_all","relative_supply_all","supply_diff_all"
"ARE","Zinc",805.19403807861,727.05794885931,1.10746886041462,78.1360892193003
"ARG","Calcium",NA,NA,NA,NA
"ARG","DHA+EPA",NA,NA,NA,NA
"ARG","Iron",NA,NA,NA,NA
"ARG","Vitamin A",NA,NA,NA,NA
"ARG","Vitamin B12",NA,NA,NA,NA
"ARG","Zinc",NA,NA,NA,NA
"ASM","Calcium",439044.548835961,439632.310129666,0.998663061653653,-587.76129370532
"ASM","DHA+EPA",1055.01278704924,1056.42516235885,0.998663061653653,-1.41237530960302
"ASM","Iron",3393.84247020539,3398.3859026343,0.998663061653653,-4.54343242891582
"ASM","Vitamin A",148871.484000726,149070.782446098,0.998663061653653,-199.298445372086
"ASM","Vitamin B12",4706.80618081973,4713.10731471923,0.998663061653653,-6.30113389949565
"ASM","Zinc",646.578321628246,647.443914224282,0.998663061653653,-0.865592596035299
"ATG","Calcium",397879.664897213,363636.830828775,1.09416767270354,34242.8340684376
"ATG","DHA+EPA",222.406989049869,203.265911247707,1.09416767270354,19.1410778021614
"ATG","Iron",2248.66629186222,2055.13866655013,1.09416767270354,193.527625312088
"ATG","Vitamin A",62325.2933499375,56961.373384337,1.09416767270354,5363.91996560052
"ATG","Vitamin B12",1321.25221908456,1207.54090259304,1.09416767270354,113.711316491522
"ATG","Zinc",173.469759329491,158.540380653789,1.09416767270354,14.9293786757011
"AUS","Calcium",90075799.617537,86971863.9574255,1.03568896329083,3103935.66011152
"AUS","DHA+EPA",112738.526264786,108853.652265027,1.03568896329083,3884.87399975921
"AUS","Iron",677643.052240954,654292.04738051,1.03568896329083,23351.0048604443
"AUS","Vitamin A",18184910.0647791,17558273.4868564,1.03568896329083,626636.577922754
"AUS","Vitamin B12",614651.937989589,593471.553502488,1.03568896329083,21180.3844871015
"AUS","Zinc",119297.706206232,115186.808428634,1.03568896329083,4110.89777759727
"BEN","Calcium",NA,NA,NA,NA
"BEN","DHA+EPA",NA,NA,NA,NA
"BEN","Iron",NA,NA,NA,NA
"BEN","Vitamin A",NA,NA,NA,NA
"BEN","Vitamin B12",NA,NA,NA,NA
"BEN","Zinc",NA,NA,NA,NA
"BES","Calcium",671073.310530758,645522.83092363,1.03958106264122,25550.4796071287
"BES","DHA+EPA",284.979085222433,274.128776930966,1.03958106264122,10.8503082914668
"BES","Iron",4723.3814588892,4543.54319122425,1.03958106264122,179.838267664958
"BES","Vitamin A",87378.5218508442,84051.6675331165,1.03958106264122,3326.85431772766
"BES","Vitamin B12",2392.91101726185,2301.80320059147,1.03958106264122,91.1078166703824
"BES","Zinc",343.813455002294,330.72308390149,1.03958106264122,13.0903711008039
"BGD","Calcium",24426.1700133897,22654.3996793941,1.07820866405951,1771.77033399563
"BGD","DHA+EPA",144.659438833497,134.166459290771,1.07820866405951,10.492979542726
"BGD","Iron",167.973126114238,155.789070996528,1.07820866405951,12.1840551177108
"BGD","Vitamin A",2593.1327690416,2405.0379629471,1.07820866405951,188.094806094501
"BGD","Vitamin B12",344.136177454057,319.174004926251,1.07820866405951,24.962172527806
"BGD","Zinc",98.4916163479785,91.3474540050091,1.07820866405951,7.14416234296939
"BGR","Calcium",NA,NA,NA,NA
"BGR","DHA+EPA",NA,NA,NA,NA
"BGR","Iron",NA,NA,NA,NA
"BGR","Vitamin A",NA,NA,NA,NA
"BGR","Vitamin B12",NA,NA,NA,NA
"BGR","Zinc",NA,NA,NA,NA
"BHR","Calcium",614405.090928443,584185.376078171,1.05172966679369,30219.7148502724
"BHR","DHA+EPA",1812.82808218947,1723.66354152209,1.05172966679369,89.1645406673761
"BHR","Iron",3080.66797859458,2929.14431898295,1.05172966679369,151.523659611629
"BHR","Vitamin A",320206.626501198,304457.159107607,1.05172966679369,15749.4673935911
"BHR","Vitamin B12",8115.25916085654,7716.10749138297,1.05172966679369,399.151669473566
"BHR","Zinc",1630.67545075108,1550.47014668927,1.05172966679369,80.2053040618055
"BHS","Calcium",872528.560829159,823337.31506351,1.05974616340795,49191.2457656485
"BHS","DHA+EPA",1713.15394738318,1616.57008681587,1.05974616340795,96.5838605673073
"BHS","Iron",6524.72754654515,6156.87772396628,1.05974616340795,367.849822578867
